FRED Graph Observations;;;;
Federal Reserve Economic Data;;;;downloaded from
Link: https://fred.stlouisfed.org;;;;https://fred.stlouisfed.org/series/GDPC1
Help: https://fred.stlouisfed.org/help-faq;;;;
Economic Research Division;;;;
Federal Reserve Bank of St. Louis;;;;
;;;;
GDPC1;Real Gross Domestic Product, Billions of Chained 2012 Dollars, Quarterly, Seasonally Adjusted Annual Rate;;;
;;;;
Frequency: Quarterly;;;;
observation_date;GDPC1;QoQ GDP growth rate;demeaned QoQ GDP growth rate;
1947-01-01;2033.061;;;
1947-04-01;2027.639;-0.266691457;-1.049155272;
1947-07-01;2023.452;-0.206496324;-0.98896014;
1947-10-01;2055.103;1.564208096;0.78174428;
1948-01-01;2086.017;1.504255504;0.721791689;
1948-04-01;2120.450;1.650657689;0.868193873;
1948-07-01;2132.598;0.572897262;-0.209566553;
1948-10-01;2134.981;0.111741641;-0.670722175;
1949-01-01;2105.562;-1.377951373;-2.160415188;
1949-04-01;2098.380;-0.341096581;-1.123560397;
1949-07-01;2120.044;1.032415482;0.249951667;
1949-10-01;2102.251;-0.839275034;-1.621738849;
1950-01-01;2184.872;3.930120618;3.147656803;
1950-04-01;2251.507;3.049835414;2.267371598;
1950-07-01;2338.514;3.864389496;3.08192568;
1950-10-01;2383.291;1.914762965;1.132299149;
1951-01-01;2415.660;1.358163984;0.575700169;
1951-04-01;2457.517;1.732735567;0.950271752;
1951-07-01;2508.166;2.060982691;1.278518876;
1951-10-01;2513.690;0.220240606;-0.562223209;
1952-01-01;2540.550;1.068548628;0.286084812;
1952-04-01;2546.022;0.215386432;-0.567077383;
1952-07-01;2564.401;0.721871217;-0.060592598;
1952-10-01;2648.621;3.284197752;2.501733937;
1953-01-01;2697.855;1.858854098;1.076390283;
1953-04-01;2718.709;0.772984464;-0.009479352;
1953-07-01;2703.411;-0.562693543;-1.345157359;
1953-10-01;2662.482;-1.513976232;-2.296440048;
1954-01-01;2649.755;-0.478012621;-1.260476437;
1954-04-01;2652.643;0.108991209;-0.673472607;
1954-07-01;2682.601;1.129364185;0.34690037;
1954-10-01;2735.091;1.956683085;1.174219269;
1955-01-01;2813.212;2.856248659;2.073784843;
1955-04-01;2858.988;1.627179182;0.844715366;
1955-07-01;2897.598;1.350477861;0.568014046;
1955-10-01;2914.993;0.600324821;-0.182138995;
1956-01-01;2903.671;-0.388405735;-1.170869551;
1956-04-01;2927.665;0.826333286;0.043869471;
1956-07-01;2925.035;-0.089832682;-0.872296498;
1956-10-01;2973.179;1.645929023;0.863465208;
1957-01-01;2992.219;0.640391984;-0.142071831;
1957-04-01;2985.663;-0.21910161;-1.001565425;
1957-07-01;3014.919;0.97988286;0.197419045;
1957-10-01;2983.727;-1.034588326;-1.817052141;
1958-01-01;2906.274;-2.595847408;-3.378311224;
1958-04-01;2925.379;0.657370915;-0.1250929;
1958-07-01;2993.068;2.313854034;1.531390218;
1958-10-01;3063.085;2.339305355;1.556841539;
1959-01-01;3121.936;1.921298299;1.138834483;
1959-04-01;3192.380;2.256420375;1.47395656;
1959-07-01;3194.653;0.071200797;-0.711263019;
1959-10-01;3203.759;0.285038782;-0.497425033;
1960-01-01;3275.757;2.247297628;1.464833812;
1960-04-01;3258.088;-0.539386774;-1.321850589;
1960-07-01;3274.029;0.489274691;-0.293189124;
1960-10-01;3232.009;-1.283433959;-2.065897774;
1961-01-01;3253.826;0.675029061;-0.107434755;
1961-04-01;3309.059;1.697478599;0.915014784;
1961-07-01;3372.581;1.91963939;1.137175574;
1961-10-01;3438.721;1.961109311;1.178645495;
1962-01-01;3500.054;1.783599193;1.001135377;
1962-04-01;3531.683;0.903671772;0.121207956;
1962-07-01;3575.070;1.228507768;0.446043953;
1962-10-01;3586.827;0.328860694;-0.453603122;
1963-01-01;3625.981;1.091605477;0.309141662;
1963-04-01;3666.669;1.122123916;0.339660101;
1963-07-01;3747.278;2.198425874;1.415962058;
1963-10-01;3771.845;0.655595875;-0.12686794;
1964-01-01;3851.366;2.108278575;1.325814759;
1964-04-01;3893.296;1.088704631;0.306240816;
1964-07-01;3954.121;1.56230094;0.779837124;
1964-10-01;3966.335;0.308892925;-0.473570891;
1965-01-01;4062.311;2.41976535;1.637301535;
1965-04-01;4113.629;1.263271079;0.480807263;
1965-07-01;4205.086;2.223268068;1.440804253;
1965-10-01;4301.973;2.304043247;1.521579431;
1966-01-01;4406.693;2.434231921;1.651768106;
1966-04-01;4421.747;0.341616718;-0.440847097;
1966-07-01;4459.195;0.846905081;0.064441265;
1966-10-01;4495.777;0.820372287;0.037908471;
1967-01-01;4535.591;0.885586629;0.103122814;
1967-04-01;4538.370;0.061270957;-0.721192859;
1967-07-01;4581.309;0.946132642;0.163668827;
1967-10-01;4615.853;0.754020303;-0.028443513;
1968-01-01;4709.993;2.039493025;1.25702921;
1968-04-01;4788.688;1.670809277;0.888345462;
1968-07-01;4825.799;0.774972184;-0.007491631;
1968-10-01;4844.779;0.393302746;-0.389161069;
1969-01-01;4920.605;1.565107511;0.782643695;
1969-04-01;4935.564;0.304007332;-0.478456483;
1969-07-01;4968.164;0.660512152;-0.121951663;
1969-10-01;4943.935;-0.487685189;-1.270149005;
1970-01-01;4936.594;-0.148484962;-0.930948777;
1970-04-01;4943.600;0.141919712;-0.640544103;
1970-07-01;4989.159;0.92157537;0.139111555;
1970-10-01;4935.693;-1.071643538;-1.854107353;
1971-01-01;5069.746;2.715991452;1.933527637;
1971-04-01;5097.179;0.541111922;-0.241351894;
1971-07-01;5139.128;0.822984635;0.04052082;
1971-10-01;5151.245;0.2357793;-0.546684516;
1972-01-01;5245.974;1.838953496;1.05648968;
1972-04-01;5365.045;2.269759629;1.487295814;
1972-07-01;5415.712;0.94439096;0.161927145;
1972-10-01;5506.396;1.674461271;0.891997456;
1973-01-01;5642.669;2.474812927;1.692349111;
1973-04-01;5704.098;1.088651487;0.306187672;
1973-07-01;5674.100;-0.525902605;-1.308366421;
1973-10-01;5727.960;0.949225428;0.166761612;
1974-01-01;5678.713;-0.859765082;-1.642228898;
1974-04-01;5692.210;0.237677093;-0.544786722;
1974-07-01;5638.411;-0.945133788;-1.727597604;
1974-10-01;5616.526;-0.388141269;-1.170605084;
1975-01-01;5548.156;-1.217300516;-1.999764332;
1975-04-01;5587.800;0.714543715;-0.0679201;
1975-07-01;5683.444;1.71165754;0.929193724;
1975-10-01;5759.972;1.346507505;0.564043689;
1976-01-01;5889.500;2.248760931;1.466297116;
1976-04-01;5932.711;0.73369556;-0.048768256;
1976-07-01;5965.265;0.548720475;-0.23374334;
1976-10-01;6008.504;0.724846256;-0.05761756;
1977-01-01;6079.494;1.181492099;0.399028283;
1977-04-01;6197.686;1.944109164;1.161645349;
1977-07-01;6309.514;1.80435085;1.021887034;
1977-10-01;6309.652;0.002187173;-0.780276642;
1978-01-01;6329.791;0.319177666;-0.463286149;
1978-04-01;6574.390;3.86425081;3.081786995;
1978-07-01;6640.497;1.005522946;0.22305913;
1978-10-01;6729.755;1.344146379;0.561682564;
1979-01-01;6741.854;0.179783662;-0.602680153;
1979-04-01;6749.063;0.106929044;-0.675534772;
1979-07-01;6799.200;0.742873492;-0.039590323;
1979-10-01;6816.203;0.250073538;-0.532390277;
1980-01-01;6837.641;0.314515281;-0.467948535;
1980-04-01;6696.753;-2.060476705;-2.842940521;
